tool, src, lib
base64, no, yes
basename, yes, no
cat, yes, no
chcon, yes, no
chgrp, yes, no
chmod, yes, no
chown, yes, no
chroot, yes, no
cksum, yes, no
comm, yes, no
cp, yes, no
csplit, yes, no
cut, yes, no
date, yes, no
dd, yes, no
df, yes, no
dircolors, yes, no
dirname, yes, no
du, yes, no
echo, yes, no
env, yes, no
expand, yes, no
expr, yes, no
factor, yes, no
false, yes, no
fmt, yes, no
fold, yes, no
head, yes, no
hostid, yes, no
hostname, yes, no
id, yes, no
ginstall, no, no
join, yes, no
kill, yes, no
link, yes, no
ln, yes, no
logname, yes, no
ls, yes, no
md5sum, no, no
mkdir, yes, no
mkfifo, yes, no
mknod, yes, no
mktemp, yes, no
mv, yes, no
nice, yes, no
nl, yes, no
nohup, yes, no
od, yes, no
paste, yes, no
pathchk, yes, no
pinky, yes, no
pr, yes, no
printenv, yes, no
printf, yes, no
ptx, yes, no
pwd, yes, no
readlink, yes, no
rm, yes, no
rmdir, yes, no
runcon, yes, no
seq, yes, no
setuidgid, no, no
shred, yes, no
shuf, yes, no
sleep, yes, no
sort, yes, no
split, yes, no
stat, yes, no
stty, yes, no
sum, yes, no
sync, yes, no
tac, yes, no
tail, yes, no
tee, yes, no
touch, yes, no
tr, yes, no
tsort, yes, no
tty, yes, no
uname, yes, no
unexpand, yes, no
uniq, yes, no
unlink, yes, no
uptime, yes, no
users, yes, no
wc, yes, no
whoami, yes, no
who, yes, no
yes, yes, no
